config,task,time,accuracy,macro_f1
54,BoolQ,,0.70948,0.689782
54,RTE,,0.697842,0.694282
112,BoolQ,,0.73578,0.715251
112,RTE,,0.726619,0.724206
16,CB,,0.928571,0.91194
16,BoolQ,,0.788379,0.769756
16,RTE,,0.776978,0.775818
20,CB,,0.821429,0.863164
20,BoolQ,,0.780428,0.766598
20,RTE,,0.784173,0.782268
21,CB,,0.928571,0.94213
21,BoolQ,,0.757798,0.738609
21,RTE,,0.748201,0.743907
